# ----------------------------------------
# Resumen de Generar oportunidades de venta
# Cuenta: CercaClickcr.com
# Propiedad: CercaClickcr.com
# ----------------------------------------
#  
# Fecha de inicio: 20260428
# Fecha de finalizacion: 20260527
Dia N,Usuarios nuevos
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,1
0016,12
0017,4
0018,1
0019,1
0020,2
0021,8
0022,0
0023,1
0024,4
0025,0
0026,9
0027,1
0028,3
0029,1

# Fecha de inicio: 20260428
# Fecha de finalizacion: 20260527
Dia N,Usuarios recurrentes
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,2
0017,1
0018,2
0019,1
0020,0
0021,1
0022,0
0023,2
0024,0
0025,1
0026,0
0027,1
0028,2
0029,1

# Fecha de inicio: 20260428
# Fecha de finalizacion: 20260527
Dia N,Clientes potenciales cualificados
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,1
0017,0
0018,0
0019,0
0020,0
0021,1
0022,0
0023,0
0024,0
0025,0
0026,1
0027,0
0028,0
0029,0

# Fecha de inicio: 20260428
# Fecha de finalizacion: 20260527
Dia N,Clientes potenciales convertidos
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,1
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0

#  
# Fecha de inicio: 20260428
# Fecha de finalizacion: 20260527
Plataforma,Eventos clave
web,2

#  
# Fecha de inicio: 20260428
# Fecha de finalizacion: 20260527
Primer grupo de canales principal del usuario (Grupo de canales predeterminado),Usuarios nuevos
Direct,32
Organic Search,17
Referral,9
Organic Social,8
Email,4

# Como retiene a los usuarios?
# Fecha de inicio: 20260412
# Fecha de finalizacion: 20260523
Fecha,Semana 0,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5
12 abr - 18 abr,0,0,0,0,0,0
19 abr - 25 abr,0,0,0,0,0,-1
26 abr - 2 may,0,0,0,0,-1,-1
3 may - 9 may,0,0,0,-1,-1,-1
10 may - 16 may,18,1,-1,-1,-1,-1
17 may - 23 may,16,-1,-1,-1,-1,-1

#  
# Fecha de inicio: 20260428
# Fecha de finalizacion: 20260527
Nombre de la audiencia,Usuarios activos
All Users,86
New Visitors,72
Returning Visitors,21
Product Viewers,25
Engaged Users,28
Cart Visitors,8
Checkout Visitors,4
Purchasers,2

#  
# Fecha de inicio: 20260428
# Fecha de finalizacion: 20260527
Ciudad,Usuarios activos
Cartago,18
San Jose,14
Alajuela,8
Heredia,7
Desamparados,6
Guadalupe,4
Paraiso,3
San Pablo,3
Escazu,2
Curridabat,2
Tres Rios,2
Turrialba,1
Puntarenas,1
Liberia,1
Limon,1

#  
# Fecha de inicio: 20260428
# Fecha de finalizacion: 20260527
Pagina de destino y cadena de consulta,Impresiones de la Busqueda de Google organica
/,40
/home,24
/shop,22
/search,18
/categorias/hogar,14
/ofertas,12
/https/wwwcercaclickcrcom/shop/p/adorable-rollo-de-500-pegatinas-animalitos-del-bosque-o-gatitos,10
/https/wwwcercaclickcrcom/shop/p/afilador-de-cuchillos-profesional-4-etapas,9
/https/wwwcercaclickcrcom/shop/p/organizador-de-cocina-plegable-multifuncional,8
/https/wwwcercaclickcrcom/shop/p/set-de-ganchos-adhesivos-transparentes-para-pared,7
/contact,6

#  
# Fecha de inicio: 20260428
# Fecha de finalizacion: 20260527
Consulta de la Busqueda de Google organica,Clics de la Busqueda de Google organica
cercaclick costa rica,6
cercaclickcr,5
bazar en linea costa rica,4
productos para el hogar costa rica,3
ofertas para el hogar costa rica,2
sombrillas plegables,2
cable usb c carga rapida,2
organizador de cocina plegable,1
ganchos adhesivos transparentes,1
soporte para celular ajustable,1


#  
# Fecha de inicio: 20260428
# Fecha de finalizacion: 20260527
Fuente manual de la sesion,Sesiones
direct,42
google,23
facebook.com,18
bing,9
newsletter,7
whatsapp,6
yahoo,4
cercaclickcr.com,3

#  
# Fecha de inicio: 20260428
# Fecha de finalizacion: 20260527
Dia N
